Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,BCR,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BDX,0,0,0,0,71290000000.0,86770000000.0,39.39,18.8,3.06,3.61,2.91,4.33,18.35,9.59,14.68,3.35,7.78,20030000000.0,69.95,2.1,9580000000.0,5220000000.0,1830000000.0,6.35,51.8,3160000000.0,11.09,18630000000.0,75.98,1.52,86.03,3040000000.0,2420000000.0,0.66,250.36,250.15,1150000.0,285060000.0,284260000.0,0.82,87.64,4530000.0,4.62,1.59,4250000.0
0,0,BEAM,0,0,0,0,3030000000.0,1960000000.0,,,,47.44,3.65,32.44,-7.55,0.0,-188.09,-6.6,-38.08,60270000.0,0.91,140433.3,-180290000.0,-104000000.0,-238290000.0,-3.59,,1220000000.0,17.79,150130000.0,18.11,5.66,12.15,190800000.0,47080000.0,1.6,36.72,65.47,1360000.0,70270000.0,57550000.0,1.99,79.82,11620000.0,9.55,19.04,11680000.0
0,0,BEN,0,0,0,0,12560000000.0,16500000000.0,6.76,7.48,8.31,1.42,1.09,1.91,5.79,22.02,25.59,5.81,16.41,8660000000.0,17.69,0.2,3540000000.0,2530000000.0,1830000000.0,3.72,-8.4,4410000000.0,8.82,3850000000.0,28.89,4.48,23.06,969600000.0,-1180000000.0,1.17,25.26,29.74,3280000.0,499920000.0,283340000.0,43.3,45.9,18210000.0,7.06,6.42,20080000.0
0,0,BF-B,0,0,0,0,33670000000.0,35080000000.0,40.9,36.5,2.84,8.69,12.46,8.92,27.51,21.31,31.43,11.98,31.08,3930000000.0,8.21,22.7,2390000000.0,1320000000.0,838000000.0,1.74,25.8,868000000.0,1.81,2340000000.0,85.64,3.65,5.71,936000000.0,606250000.0,0.75,66.8,68.31,1140000.0,309880000.0,347690000.0,1.72,50.28,3100000.0,2.94,,2870000.0
0,0,BHI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BIG,0,0,0,0,643990000.0,2660000000.0,9.6,,,0.12,0.66,0.45,10.56,1.22,1.86,1.7,6.41,5900000000.0,190.06,-15.4,2400000000.0,256980000.00000003,72130000.0,2.32,,61710000.0,2.13,2080000000.0,212.42,1.52,33.93,-206760000.0,-426940000.0,2.15,27.56,38.55,1530000.0,28920000.0,26690000.0,2.72,114.18,10920000.0,4.72,69.17,7320000.0
0,0,BIIB,0,0,0,0,29660000000.0,33490000000.000004,20.73,12.64,8.6,2.78,2.64,3.1,12.27,13.4,28.59,8.15,14.09,10820000000.0,73.15,-6.0,8870000000.0,3620000000.0,1450000000.0,10.09,-25.9,3750000000.0,25.62,7590000000.0,67.62,2.01,76.22,3030000000.0,2080000000.0,0.42,202.36,230.16,1140000.0,146450000.0,146020000.0,0.64,86.79,2660000.0,2.69,2.05,2200000.0
0,0,BK,0,0,0,0,34780000000.0,,10.68,9.6,1.08,2.31,0.94,,,22.42,27.91,0.77,8.23,16079999999.999998,19.29,-2.0,16160000000.0,,3390000000.0,4.03,-16.6,199230000000.0,246.63,68670000000.0,,,45.76,9440000000.0,,1.13,43.62,52.87,5040000.0,807800000.0,806410000.0,0.17,85.21,7290000.0,1.68,0.9,6650000.0
0,0,BKS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
